Devices
1000
,,ForcePlate4 - Force,,,ForcePlate4 - Moment,,,ForcePlate4 - CoP,,,ForcePlate2 - Force,,,ForcePlate2 - Moment,,,ForcePlate2 - CoP,,,ForcePlate1 - Force,,,ForcePlate1 - Moment,,,ForcePlate1 - CoP,,,ForcePlate3 - Force,,,ForcePlate3 - Moment,,,ForcePlate3 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
21,0,0.0588989,-0.0152588,-0.012207,-7.81251,24.2615,-1.78526,300,-200,0,-0.00320433,0.0614929,-0.0729369,19.8975,14.0076,-1.1444,-300,200,0,0.0289917,0.0393677,0.050354,3.47901,3.02125,10.3455,300,200,0,-0.00381472,0.0265503,0.127869,13.1836,-1.19017,3.84523,-300,-200,0
21,1,0.0894165,0.0762939,0.0488282,4.39452,24.2615,-1.78526,300,-200,0,-0.00320432,0.000457777,-0.0119018,-16.7236,14.0076,-1.1444,-300,200,0,-0.00152588,-0.0216675,-0.0717163,3.47901,3.02125,1.1902,300,200,0,-0.0343323,-0.0344849,0.0668334,0.976554,-19.5007,-5.31005,-300,-200,0
22,0,-0.00213627,0.0457764,-0.012207,4.39452,5.95093,16.5253,300,-200,0,-0.0337219,0.0309753,-0.0119018,-4.5166,-22.6135,8.01087,-300,200,0,-0.0320435,0.00885013,-0.0717163,15.686,3.02125,1.1902,300,200,0,-0.00381472,-0.00396732,0.00579825,-11.2305,-1.19017,13.0005,-300,-200,0
22,1,-0.00213628,-0.0152588,-0.0732421,-7.81251,5.95093,-1.78526,300,-200,0,-0.0337219,-0.0605774,-0.0119018,-28.9307,-22.6135,8.01087,-300,200,0,-0.00152589,-0.052185,0.111389,15.686,3.02125,10.3455,300,200,0,-0.0343323,0.0265503,-0.116272,0.976554,-19.5007,3.84523,-300,-200,0
23,0,-0.00213627,0.0457764,-0.012207,-20.0195,24.2615,-1.78526,300,-200,0,0.0273133,0.000457781,0.0491334,-16.7236,14.0076,8.01087,-300,200,0,-0.00152587,0.0393677,-0.0106812,-8.72802,21.3318,1.1902,300,200,0,-0.00381472,-0.00396732,-0.0552369,-11.2305,17.1204,-5.31005,-300,-200,0
23,1,-0.00213626,0.137329,0.0488282,-7.81251,-12.3596,-1.78526,300,-200,0,-0.00320432,0.000457777,-0.0119018,-28.9307,-22.6135,-1.1444,-300,200,0,-0.00152588,0.00885012,-0.0717163,15.686,3.02125,1.1902,300,200,0,-0.0343323,-0.00396733,0.00579825,0.976551,-1.19017,13.0005,-300,-200,0
24,0,0.0283813,-0.0762939,0.0488282,4.39452,-12.3596,7.37001,300,-200,0,0.0273133,0.000457781,-0.0119018,19.8975,-22.6135,8.01087,-300,200,0,-0.00152587,0.0393677,-0.0717163,15.686,-15.2893,10.3455,300,200,0,-0.0343323,0.0265503,0.00579825,13.1836,-19.5007,13.0005,-300,-200,0
24,1,-0.00213628,-0.0152588,-0.0732421,-7.81251,-12.3596,-1.78526,300,-200,0,-0.00320432,0.000457777,0.0491334,-16.7236,14.0076,17.1661,-300,200,0,-0.00152589,-0.052185,0.111389,-20.9351,3.02126,-44.5862,300,200,0,-0.00381472,0.0265503,0.0668334,0.976551,-1.19017,-5.31005,-300,-200,0
25,0,0.0283813,0.0152588,0.0488282,4.39452,-12.3596,-10.9405,300,-200,0,-0.0337219,0.0614929,0.110169,7.69042,-4.30297,17.1661,-300,200,0,-0.00152588,0.00885012,-0.0106812,-8.72802,-15.2893,10.3455,300,200,0,-0.00381472,0.0265503,0.00579825,0.976551,-1.19017,-14.4653,-300,-200,0
25,1,0.0283813,-0.0152588,0.0488282,-7.81251,5.95093,-10.9405,300,-200,0,-0.0337219,0.000457772,0.0491334,7.69042,-4.30297,-1.1444,-300,200,0,-0.0320435,0.00885013,0.233459,15.686,-15.2893,-7.96508,300,200,0,-0.00381472,0.0265503,0.0668334,-11.2305,-1.19017,13.0005,-300,-200,0
